gene module_id
Cage1 grey
Txndc5 MH_01
Muted MH_04
Eef1e1 MH_02
Slc35b3 MH_27
Ofcc1 MH_19
Tfap2a MH_28
Mak MH_10
Gcm2 MH_12
Nedd9 MH_29
C6orf105 grey
Tbc1d7 MH_03
Gfod1 MH_06
Ranbp9 MH_02
Ccdc90a MH_07
Dtnbp1 MH_20
Atxn1 MH_28
Nup153 MH_13
Kif13a MH_04
Nhlrc1 MH_10
Dek MH_01
Znf169 MH_17
Ptpdc1 grey
Phf2 MH_02
Fam120a MH_01
Wnk2 MH_27
C9orf89 MH_07
Susd3 MH_06
Fgd3 MH_27
Cenpp MH_01
Shc3 MH_23
Sema4d MH_30
Diras2 MH_21
Auh MH_02
Nfil3 MH_29
Ror2 MH_22
Sptlc1 MH_06
Msx2 MH_24
Drd1 grey
Thoc3 MH_04
Kiaa1191 MH_27
Nop16 MH_02
Cltb MH_20
Rnf44 MH_30
Gprin1 MH_10
Sncb MH_20
Hk3 MH_11
Uimc1 MH_04
Rab24 MH_04
Mxd3 MH_01
Lman2 MH_03
Pfn3 MH_21
Dbn1 MH_21
Pdlim7 MH_06
Dok3 MH_24
Ddx41 MH_02
Fam193b MH_26
Pitx1 MH_24
H2afy MH_02
Tifab grey
Neurog1 MH_24
Cxcl14 MH_18
Il9 grey
Trpc7 MH_12
Spock1 MH_19
Klhl3 MH_21
Hnrnpa0 MH_04
Ubqln1 MH_30
Gkap1 MH_10
C9orf64 MH_02
Slc28a3 MH_23
Agtpbp1 MH_04
Golm1 MH_17
C9orf153 MH_10
Fam75d4 MH_02
Isca1 MH_27
Zcchc6 MH_27
Gas1 MH_23
Ctsl1p8 MH_01
Fbp1 MH_25
Fancc MH_28
Ptch1 MH_30
Hsd17b3 grey
Slc35d2 MH_01
Znf367 MH_01
Cdc14b MH_17
C9orf21 MH_02
Ctsl1 MH_04
Cntnap3 MH_28
Prss47 MH_21
Hiatl1 MH_27
Mterfd1 MH_04
Znf493 MH_10
Znf43 grey
Znf93 MH_28
Mtrr MH_17
Adcy2 MH_01
Papd7 MH_28
Srd5a1 MH_01
Ube2ql1 MH_20
Kiaa0947 MH_13
Adamts16 grey
Irx1 MH_21
Rpl9 MH_02
Slc6a18 MH_21
Nkd2 MH_11
Trip13 MH_01
Cep72 MH_01
Exoc3 MH_04
Ahrr MH_23
Pdcd6 MH_09
Sdha MH_04
Loc100287477 MH_14
Znf124 MH_20
Cast MH_09
Rhobtb3 MH_21
Rfesd MH_04
Gpr150 grey
Arsk MH_10
Fam81b MH_23
Ankrd32 MH_02
Nr2f1 grey
Gpr98 MH_15
Polr3g MH_02
Loc100505894 MH_24
Rasa1 MH_02
Cox7c MH_24
Vcan MH_04
Xrcc4 MH_02
Atp6ap1l MH_14
Atg10 MH_02
Zcchc9 MH_29
Ckmt2 MH_29
Rasgrf2 MH_14
Msh3 MH_02
Fam151b MH_08
Zfyve16 MH_27
Spz1 MH_24
Thbs4 MH_14
Cmya5 MH_04
Papd4 MH_28
Jmy MH_27
Scamp1 MH_27
Pde8b MH_29
Aggf1 MH_09
Crhbp MH_24
S100z MH_28
F2rl1 MH_17
F2r MH_14
Iqgap2 MH_01
Sv2c MH_27
Ankdd1b MH_24
Polk MH_07
Hmgcr MH_29
Plp2 MH_07
Nsa2 MH_02
Hexb MH_04
Rgnef MH_29
Utp15 grey
Btf3 MH_04
Tmem174 MH_23
Tmem171 MH_04
Fcho2 MH_27
Tnpo1 MH_26
Ptcd2 MH_02
Map1b MH_04
Cartpt MH_24
Mccc2 MH_02
Bdp1 MH_27
Naip grey
Gtf2h2 MH_04
Ocln MH_24
Marveld2 MH_07
Rad17 MH_09
Cdk7 MH_02
Cenph MH_01
Slc30a5 MH_04
Pik3r1 MH_27
Srek1 MH_26
Erbb2ip MH_27
Nln MH_04
C5orf44 MH_02
Ppwd1 MH_02
Cwc27 MH_09
Fam159b MH_27
Rgs7bp MH_24
Rnf180 MH_14
Kif2a MH_05
Zswim6 MH_27
Ndufaf2 MH_04
Rab3c MH_21
Gapt MH_25
Gpbp1 MH_09
Map3k1 MH_27
Ddx4 MH_21
Skiv2l2 MH_02
Gpx8 MH_24
Gzmk MH_01
Snx18 MH_29
Hspb3 MH_30
Ndufs4 MH_02
Fst MH_29
Itga2 MH_18
Itga1 MH_29
Isl1 grey
Parp8 MH_14
Mrps30 MH_04
Nnt MH_04
Nim1 MH_14
Znf131 MH_27
Flnb MH_08
Abhd6 MH_04
Rpp14 MH_02
Pxk MH_14
Kctd6 MH_27
Ptprg MH_24
C3orf14 MH_04
Synpr MH_28
Sntn MH_21
Atxn7 MH_27
Or2t1 MH_23
Il3ra MH_04
Slc4a7 MH_27
Nek10 MH_21
Ngly1 MH_04
Top2b MH_02
Thrb MH_14
Nkiras1 MH_22
Nid2 MH_21
Nudt13 MH_13
Fam149b1 MH_17
Sec24c MH_26
Fut11 MH_04
Kiaa0913 MH_27
Plau MH_31
Vcl MH_01
Adk MH_04
Kat6b MH_02
Samd8 MH_27
Vdac2 MH_03
C10orf11 MH_24
Zmiz1 MH_30
Ppif MH_03
Loc219347 MH_20
Fam116a MH_17
Arf4 MH_27
Asb14 MH_29
Hesx1 MH_04
Il17rd MH_24
Arhgef3 MH_03
Fam208a MH_17
Erc2 MH_05
Wnt5a grey
Lrtm1 MH_21
Selk MH_27
Actr8 MH_02
Chdh MH_23
Dcp1a MH_04
Rft1 MH_03
Sfmbt1 MH_27
Tmem110 MH_27
Mustn1 grey
Nek4 MH_01
Glt8d1 MH_10
Pbrm1 MH_02
Nt5dc2 MH_01
Tnnc1 MH_02
Sema3g MH_24
Bap1 MH_01
Capn7 MH_27
Eaf1 MH_27
Galntl2 MH_22
Oxnad1 MH_12
Msmb MH_14
Ncoa4 MH_17
Parg MH_02
Ogdhl MH_24
Ercc6 MH_27
Drgx MH_23
C10orf128 MH_31
Fam170b MH_23
Vstm4 MH_24
Lrrc18 MH_21
Arhgap22 MH_21
Frmpd2 grey
Ptpn20b MH_25
Gdf10 MH_24
Gdf2 MH_22
Rbp3 MH_20
Antxrl MH_21
Anxa8l2 MH_28
Syt15 MH_22
Glud1 MH_04
Mmrn2 MH_23
Wapal MH_09
Grid1 MH_20
Lrit1 MH_20
Lrit2 MH_20
Dydc1 MH_21
Sftpa1 MH_21
Mbl1p grey
Ptgdr MH_27
Ptger2 MH_07
Ero1l MH_28
Psmc6 MH_09
Cdkn3 MH_01
Cgrrf1 MH_04
Samd4a MH_24
Socs4 MH_22
Mapk1ip1l MH_30
Lgals3 MH_07
Fbxo34 MH_27
Ktn1 MH_27
Peli2 MH_23
C14orf101 MH_02
Mudeng MH_04
Naa30 MH_27
Or4k15 MH_18
Or11g2 MH_27
Or11h6 MH_28
Parp2 MH_04
Pnp MH_04
Rnase10 grey
Eddm3b MH_14
Rnase6 MH_14
Rnase3 grey
Mettl17 MH_17
Slc39a2 MH_23
Tppp2 MH_24
Arhgef40 MH_24
C14orf176 MH_21
Rpgrip1 MH_02
Chd8 MH_13
Tox4 MH_27
Or4e2 MH_21
Trav12-3 MH_14
Rps19 MH_02
Mgc40069 MH_29
Abhd4 MH_04
Oxa1l MH_03
Mrpl52 MH_04
Mmp14 MH_25
Lrp10 MH_30
Rem2 MH_11
Psmb11 MH_24
Bcl2l2 MH_27
Pabpn1 MH_27
Il25 MH_23
Cmtm5 MH_23
Ngdn MH_02
Thtpa MH_03
Dhrs2 grey
Dhrs4 MH_03
Lrrc16b MH_25
Cpne6 grey
Pck2 MH_04
Fitm1 MH_04
Psme1 MH_14
Rnf31 MH_27
Irf9 MH_17
Rec8 grey
Tssk4 MH_02
C14orf21 MH_04
Ltb4r2 MH_14
Ltb4r MH_05
Nfatc4 MH_20
Nynrin MH_15
Khnyn MH_27
Atp12a MH_24
Rnf17 MH_24
Parp4 MH_04
Zmym2 MH_13
Ift88 MH_02
Il17d MH_25
Mrp63 MH_04
Fgf9 grey
Rcbtb1 MH_17
Cab39l MH_04
Shisa2 MH_20
Mtmr6 MH_27
Fam123a MH_11
Spata13 MH_27
C1qtnf9 MH_21
Mipep MH_02
Sacs MH_25
Arl11 MH_20
Trim13 MH_09
Kcnrg MH_17
Rnaseh2b MH_01
Fam124a MH_24
Serpine3 MH_03
Wdfy2 MH_27
Defb130 MH_18
Defb131 grey
Defb136 MH_24
Ctsb MH_06
Fam167a MH_01
Xkr6 MH_01
Pinx1 MH_15
Sox7 MH_20
Rp1l1 MH_22
Kif13b MH_27
Ints9 MH_04
Fbxo16 MH_21
Znf395 MH_02
Scara5 MH_24
Pbk MH_01
Ccdc25 MH_04
Clu MH_23
Trim35 MH_01
Stmn4 MH_28
Adra1a MH_21
Pnma2 MH_24
Ebf2 MH_01
Kctd9 MH_07
Gnrh1 MH_28
Nefl MH_24
Stc1 MH_18
Nkx2-6 MH_24
Nkx3-1 MH_27
Tnfrsf10b MH_24
Pebp4 MH_24
Egr3 MH_06
Bin3 MH_04
Phyhip MH_24
Lgi3 MH_21
Reep4 MH_01
Hr MH_20
Nudt18 MH_24
Dok2 MH_01
Gfra2 MH_20
Fndc3a MH_28
Rcbtb2 MH_10
Med4 MH_09
Sucla2 MH_02
Htr2a grey
Kiaa0226l grey
Lcp1 MH_27
Zc3h13 MH_27
Siah3 MH_27
Tpt1 MH_10
Snora31 MH_26
Kctd4 grey
Nufip1 MH_10
Tsc22d1 MH_04
Ccdc122 MH_03
Enox1 MH_26
Kiaa0232 MH_22
Epsti1 MH_17
Kiaa0564 MH_04
Mtrf1 MH_04
Kbtbd7 MH_04
Elf1 MH_02
Sugt1 MH_02
Pcdh17 MH_10
Tdrd3 MH_02
Bora MH_01
Klf5 MH_28
Uchl3 MH_04
Lmo7 MH_21
Kctd12 MH_27
Irg1 MH_27
Cln5 MH_27
Scel MH_14
Slain1 MH_27
Ndfip2 MH_09
Slitrk5 MH_24
Tpm3 MH_02
Gpc5 MH_24
Gpc6 MH_24
Tgds MH_04
Gpr180 MH_02
Sox21 MH_23
Cldn10 MH_02
Dnajc3 MH_17
Hs6st3 MH_01
Mbnl2 MH_27
Rap2a MH_27
Ipo5 MH_01
Farp1 MH_07
Ubac2 MH_03
Tm9sf2 MH_17
Clybl MH_02
Zic2 MH_24
Pcca MH_02
Itgbl1 MH_14
Dnase1l3 MH_04
Pdhb MH_27
Fam107a MH_24
Fam3d MH_24
C3orf67 MH_04
Fhit MH_10
Fezf2 MH_24
Cadps MH_24
Loc100130345 MH_21
Thoc7 MH_04
Psmd6 MH_04
Or2t6 MH_27
Lrrc3b MH_18
Oxsm MH_02
Rarb MH_18
Nr1d2 MH_27
Ube2e2 grey
C14orf166 MH_03
Gng2 MH_05
C6orf64 MH_17
Kcnk5 MH_04
Kcnk16 MH_28
Ecd MH_04
Dnajc9 MH_04
Mrps16 MH_04
Ttc18 MH_21
Anxa7 MH_04
Zmynd17 MH_17
Ppp3cb MH_04
Usp54 MH_03
Myoz1 MH_24
Synpo2l MH_23
Ndst2 MH_17
Camk2g MH_21
Ap3m1 grey
Dupd1 grey
Dusp13 MH_21
Comtd1 MH_02
Znf503 MH_25
Kcnma1 MH_24
Dlg5 MH_22
Polr3a MH_27
Loc283050 MH_25
Zcchc24 grey
Slmap MH_09
Pde12 MH_02
Appl1 MH_27
Ccdc66 MH_09
Cacna2d3 grey
Il17rb MH_21
Cacna1d MH_04
Prkcd MH_27
Spcs1 MH_03
Gnl3 MH_10
Snord69 MH_18
Snord19 MH_21
C3orf78 MH_10
Stab1 MH_24
Nisch MH_14
Phf7 MH_04
Dnah1 MH_20
Sh3bp5 MH_14
Mettl6 MH_27
Ankrd28 MH_04
Timm23 MH_04
C10orf53 MH_19
Chat MH_23
Slc18a3 MH_07
C10orf71 MH_10
Wdfy4 MH_12
Mapk8 MH_27
Znf488 MH_27
Ppyr1 MH_24
Fam25c MH_28
Sncg MH_28
Bmpr1a MH_24
Ldb3 MH_22
Opn4 grey
Fam190b MH_27
Rgr MH_23
Cdhr1 MH_27
C10orf99 MH_21
Ghitm MH_09
Nrg3 MH_24
Sh2d4b MH_20
Tspan14 MH_14
C10orf58 MH_09
Dydc2 MH_24
Sftpd MH_14
Txndc16 MH_04
Fermt2 MH_28
Ddhd1 MH_27
Bmp4 MH_25
Cnih MH_06
Gmfb MH_27
Wdhd1 MH_01
Dlgap5 MH_01
Otx2 MH_24
Exoc5 MH_02
C14orf105 MH_10
Slc35f4 MH_01
C14orf37 MH_20
Or4n5 grey
Or4l1 MH_21
Or4k1 grey
Or4k5 MH_24
Or4k2 MH_14
Or4n4 grey
Or4n2 grey
Or4m1 MH_10
Or4q3 MH_24
Or11h4 MH_21
Ttc5 MH_04
Ccnb1ip1 MH_21
Rpph1 MH_14
Klhl33 MH_24
Osgep MH_02
Tmem55b MH_18
Rnase9 MH_10
Rnase11 MH_24
Rnase12 grey
Or6s1 MH_24
Rnase1 MH_21
Rnase2 MH_21
Ndrg2 MH_04
Rnase13 MH_24
Znf219 MH_27
Or5au1 MH_24
Hnrnpc MH_04
Supt16h MH_01
Snord8 MH_24
Rab2b MH_25
Sall2 grey
Or10g3 grey
Or10g2 MH_10
Dad1 MH_10
Or6t1 MH_10
Slc7a7 MH_01
Prmt5 MH_02
Haus4 MH_01
Jub MH_04
C14orf93 MH_04
Psmb5 MH_03
Cdh24 MH_01
Acin1 MH_13
Cebpe MH_27
Slc7a8 MH_12
Homez MH_04
Ppp1r3e MH_10
Slc22a17 MH_22
Efs MH_25
Myh6 MH_24
Myh7 MH_29
Zfhx2 MH_08
Ap1g2 MH_01
Jph4 MH_12
Nrl MH_24
Fam158a MH_02
Psme2 MH_03
Ipo4 MH_02
Tm9sf1 MH_01
Mdp1 MH_23
Nedd8 MH_03
Tinf2 MH_29
Tgm1 MH_11
Rabggta MH_15
Dhrs1 MH_04
Adcy4 MH_21
Ripk3 MH_18
Cbln3 grey
Sdr39u1 MH_30
Cma1 MH_24
Ctsg MH_01
Cenpj MH_15
Pspc1 MH_04
Zmym5 MH_27
Gja3 MH_29
Gjb2 MH_27
Gjb6 grey
Cryl1 MH_02
N6amt2 MH_03
Xpo4 MH_13
Lats2 MH_02
Ska3 MH_01
Zdhhc20 MH_14
Efha1 MH_04
Phf11 MH_17
Setdb2 MH_17
Cdadc1 MH_09
Atp8a2 MH_14
Tnfrsf19 MH_27
Sgcg MH_26
Ebpl MH_04
Kpna3 MH_01
Spryd7 MH_10
Dleu2 MH_05
Dleu7 MH_14
Gucy1b2 MH_21
Ints6 MH_04
Defb135 MH_24
Fdft1 MH_06
Neil2 MH_10
Gata4 MH_28
Blk MH_25
Tdh MH_12
Mtmr9 MH_04
C8orf74 MH_19
Prss55 MH_27
Msra MH_03
Extl3 MH_04
Fzd3 MH_21
Pnoc MH_01
Elp3 MH_02
Esco2 MH_01
Scara3 MH_24
Gulop grey
Adam2 grey
Ephx2 MH_23
Ptk2b MH_29
Dpysl2 MH_03
Ppp2r2a MH_02
Cdca2 MH_01
Dock5 MH_07
Nefm MH_23
Adam7 MH_23
Adamdec1 MH_27
Adam28 MH_23
Slc25a37 MH_14
Ervfrd-1 MH_22
R3hcc1 MH_02
Chmp7 MH_09
Rhobtb2 MH_14
Kiaa1967 MH_01
C8orf58 MH_10
Pdlim2 MH_03
Sorbs3 MH_04
Ppp3cc MH_04
Piwil2 MH_28
Polr3d MH_02
Bmp1 MH_24
Sftpc MH_12
Fam160b2 MH_27
Epb49 MH_21
Fgf17 grey
Npm2 MH_01
Xpo7 MH_04
Cysltr2 MH_28
Rb1 MH_01
Itm2b MH_02
Nudt15 MH_17
Lrch1 MH_29
Lrrc63 grey
Spert MH_22
Cog3 MH_27
Slc25a30 MH_09
Gtf2f2 MH_04
Kiaa1704 MH_09
Serp2 MH_04
Lacc1 MH_27
Dnajc15 MH_03
C13orf30 MH_14
Tnfsf11 MH_27
Akap11 MH_02
Dgkh MH_07
C13orf15 MH_12
Naa16 MH_04
Wbp4 MH_02
Lect1 MH_10
Pcdh8 MH_22
Diaph3 MH_01
Pcdh20 MH_21
Pcdh9 MH_14
Klhl1 MH_27
Dach1 MH_27
Mzt1 MH_04
Dis3 MH_02
Klf12 MH_04
C2orf53 grey
Tbc1d4 MH_09
Commd6 MH_04
Fbxl3 MH_29
Mycbp2 MH_14
Ednrb grey
Pou4f1 MH_23
Rnf219 MH_04
Rbm26 MH_27
Spry2 MH_04
Slitrk1 MH_24
Slitrk6 MH_25
Dct MH_24
Abcc4 MH_17
Dzip1 MH_14
Uggt2 MH_21
Oxgr1 MH_29
Stk24 MH_07
Dock9 MH_27
Gpr18 MH_27
Gpr183 MH_07
Zic5 MH_28
A2ld1 MH_14
Tmtc4 MH_27
Nalcn MH_21
Fgf14 MH_21
Sepp1 MH_10
Oxct1 MH_02
Plcxd3 grey
Heatr7b2 MH_24
Rpl37 MH_17
Snord72 MH_14
Prkaa1 MH_02
Ttc33 MH_04
Dab2 MH_05
Fyb MH_27
Rictor MH_13
Egflam MH_24
Gdnf MH_22
Nup155 MH_01
C5orf42 MH_27
Ranbp3l grey
Nadkd1 MH_04
Lmbrd2 MH_27
Ugt3a2 MH_23
Capsl MH_04
Agxt2 MH_22
Rad1 MH_02
Amacr MH_23
Slc45a2 MH_10
Adamts12 MH_10
Zfr MH_26
Mtmr12 MH_27
Golph3 MH_29
Drosha MH_04
Cdh9 MH_15
Cdh10 MH_22
Cdh12 MH_10
Cdh18 MH_22
Loc285696 MH_24
Myo10 MH_27
Fam134b MH_02
Znf622 MH_02
March11 MH_21
Ankh MH_31
Dnah5 MH_24
Ctnnd2 grey
Dap MH_30
Cmbl MH_14
Fam173b MH_04
Tas2r1 MH_21
Sema5a MH_21
Sdc2 MH_24
Pgcp MH_02
Mtdh MH_04
Laptm4b MH_10
Matn2 MH_20
C8orf47 grey
Pop1 MH_04
Kcns2 grey
Osr2 MH_10
Vps13b MH_17
Polr2k MH_04
Spag1 MH_04
Grhl2 MH_01
Odf1 MH_03
Atp6v1c1 MH_04
Baalc MH_21
Fzd6 MH_27
Cthrc1 MH_14
Dcaf13 MH_02
Tm7sf4 MH_29
Zfpm2 grey
Oxr1 MH_09
Ttc35 MH_04
Trhr MH_21
Eny2 MH_02
Pkhd1l1 MH_29
Ebag9 MH_04
Utp23 MH_09
C8orf85 MH_24
Slc30a8 MH_24
Med30 MH_02
Mal2 MH_24
Nov MH_22
Deptor MH_14
Col14a1 MH_21
Mtbp MH_01
Zhx2 MH_27
Wdr67 MH_01
Fam83a MH_24
Wdyhv1 MH_03
Klhl38 MH_18
Fam91a1 MH_27
Fer1l6 MH_14
Trmt12 MH_21
Rnf139 MH_27
Ndufb9 MH_04
Sqle MH_06
Nsmce2 MH_02
Trib1 MH_04
Myc MH_15
Pvt1 grey
Efr3a MH_13
Phf20l1 MH_26
Tg MH_27
Wisp1 MH_27
Ndrg1 MH_05
Rpl21 MH_02
Khdrbs3 MH_15
Gng5 MH_03
Chrac1 MH_14
Dennd3 MH_14
Ptp4a3 MH_30
Bai1 MH_10
Psca MH_20
C8orf55 MH_18
Ly6k MH_10
Ly6e MH_30
Gpihbp1 MH_24
Zfp41 MH_04
Rhpn1 MH_28
Tigd5 MH_04
Znf623 MH_02
Znf707 MH_19
Mapk15 MH_23
Loc642574 MH_14
Grina MH_27
Spatc1 MH_24
Gpaa1 MH_30
Cyc1 MH_02
Maf1 MH_12
Fam203a MH_02
Heatr7a grey
Scxb MH_14
Hsf1 MH_14
Gpr172a MH_03
Adck5 MH_14
Kifc2 MH_22
Ppp1r16a MH_27
Mfsd3 MH_14
Lrrc14 MH_02
Znf7 grey
Commd5 MH_25
Rpl8 MH_17
C8orf33 MH_17
Apol6 MH_23
Cacng2 MH_21
Ncf4 MH_04
Csf2rb MH_05
Mpst MH_04
Kctd17 MH_07
Cyth4 MH_30
Cdc42ep1 MH_24
Gga1 grey
Sh3bp1 MH_15
Pdxp MH_15
Lgals1 MH_07
Nol12 MH_04
Triobp MH_04
H1f0 MH_07
Eif3l MH_03
Micall1 MH_14
Polr2f MH_02
Pick1 MH_06
Maff MH_10
Kdelr3 MH_14
Cby1 MH_04
Tomm22 MH_03
Gtpbp1 MH_27
Sun2 MH_14
Apobec3b MH_17
Syngr1 grey
Tab1 MH_20
Mgat3 MH_23
Smcr7l MH_27
Atf4 MH_29
Cacna1i MH_01
Grap2 MH_14
Fam83f MH_22
Adsl MH_02
Sgsm3 MH_29
Mchr1 MH_20
Xpnpep3 MH_17
Ep300 MH_27
L3mbtl2 MH_03
Zc3h7b MH_04
Tef MH_29
Aco2 MH_04
Csdc2 MH_10
Xrcc6 MH_02
C22orf46 MH_12
Mei1 MH_20
Ccdc134 MH_20
Srebf2 MH_29
Sept3 MH_10
Wbp2nl MH_14
Fam109b MH_04
C22orf32 MH_04
Loc388906 MH_14
Serhl2 MH_01
Rnu12-2p MH_12
Bik MH_28
Tspo MH_04
Mpped1 MH_24
Pnpla3 grey
Samm50 MH_04
Parvb grey
Parvg MH_02
Arhgap8 MH_24
Nup50 MH_09
Upk3a MH_21
Fam118a MH_27
Ribc2 MH_21
Fbln1 MH_24
Atxn10 MH_03
Gtse1 MH_01
Trmu MH_17
Gramd4 MH_17
Tbc1d22a MH_27
Fam19a5 MH_23
Creld2 MH_09
Pim3 MH_29
Mov10l1 MH_14
Panx2 MH_23
Ppp6r2 MH_03
Adm2 MH_01
Miox MH_23
Ncaph2 MH_01
Klhdc7b MH_26
Mapk8ip2 MH_06
Shank3 MH_24
Acr MH_23
Alg10 MH_28
Lrrk2 MH_08
Cntn1 MH_21
Pdzrn4 MH_24
Rn7sk MH_14
Pphln1 MH_04
Irak4 MH_17
Tmem117 MH_24
Ano6 MH_17
Arid2 MH_14
Fam113b MH_14
Rapgef3 MH_21
Slc48a1 MH_30
Tmem106c MH_03
Pfkm MH_17
C12orf68 MH_27
C12orf54 MH_24
Loc255411 MH_24
Cacnb3 MH_22
Ccdc65 grey
Wnt1 MH_24
Tuba1b MH_01
Tuba1a MH_01
Tuba1c MH_01
Prph MH_27
Troap MH_01
Dnajc22 MH_01
Spats2 MH_05
Kcnh3 grey
Prpf40b MH_14
Tmbim6 MH_27
Aqp2 MH_22
Aqp5 MH_14
Aqp6 MH_24
Accn2 MH_19
Smarcd1 MH_29
Gpd1 MH_26
C12orf62 MH_04
Larp4 MH_27
Dip2b MH_27
Tmprss12 MH_23
Mettl7a MH_04
Letmd1 MH_03
Dazap2 MH_27
Slc4a8 MH_02
Scn8a MH_24
Ankrd33 MH_22
Acvrl1 MH_14
Acvr1b MH_14
Grasp MH_25
Nr4a1 MH_29
C12orf44 MH_09
Krt7 MH_28
Krt86 MH_02
Krt18 MH_21
Eif4b MH_02
Tenc1 MH_04
Igfbp6 MH_22
Znf740 MH_02
Mfsd5 MH_02
Espl1 MH_01
Pfdn5 MH_03
C12orf10 MH_03
Sp1 MH_27
Amhr2 MH_23
Prr13 MH_22
Pcbp2 MH_04
Tarbp2 MH_01
Hoxc13 MH_24
Hoxc12 grey
Hoxc11 MH_18
Hoxc10 MH_24
Hoxc9 MH_21
Hoxc8 grey
Hoxc6 MH_24
Hoxc5 MH_24
Hoxc4 MH_23
Copz1 MH_04
Nckap1l MH_30
Pde1b MH_28
Ccdc152 MH_18
Ghr MH_21
Fbxo4 MH_04
C5orf51 MH_26
C7 MH_24
Card6 MH_14
Ptger4 MH_06
Osmr MH_24
Wdr70 MH_22
Nipbl MH_13
Slc1a3 MH_12
Skp2 MH_01
Il7r MH_17
Spef2 MH_14
Dnajc21 MH_02
Brix1 MH_02
Ttc23l MH_14
Rai14 MH_27
Rxfp3 MH_21
Tars MH_09
Npr3 MH_14
Sub1 MH_07
Pdzd2 MH_23
C5orf22 MH_17
Cdh6 MH_22
Basp1 MH_10
Fbxl7 MH_28
Fam105b MH_08
Fam105a MH_14
Trio MH_14
Ankrd33b MH_25
Ropn1l MH_04
March6 MH_23
Cct5 MH_02
Snord123 MH_24
Tspyl5 grey
Rpl30 MH_03
Hrsp12 MH_04
Nipal2 MH_24
Stk3 MH_04
Rgs22 MH_25
Fbxo43 MH_23
Rnf19a MH_07
Ankrd46 MH_04
Snx31 MH_25
Pabpc1 MH_13
Ywhaz MH_01
Znf706 MH_03
Ncald MH_27
Rrm2b MH_12
Ubr5 MH_07
Klf10 MH_25
Azin1 MH_07
Slc25a32 MH_02
Lrp12 MH_14
Abra grey
Angpt1 MH_21
Rspo2 MH_22
Eif3e MH_02
Tmem74 MH_10
Nudcd1 MH_02
Sybu MH_28
Kcnv1 MH_23
Csmd3 MH_24
Trps1 MH_27
Eif3h MH_04
Rad21 MH_01
Ext1 MH_06
Samd12 grey
Tnfrsf11b MH_24
Enpp2 MH_04
Taf2 MH_05
Dscc1 MH_01
Mrpl13 MH_04
Sntb1 MH_04
Has2 MH_22
Derl1 MH_30
C8orf76 MH_22
Zhx1 MH_10
Atad2 MH_01
Fbxo32 MH_10
Tmem65 MH_09
Tatdn1 MH_04
Mtss1 MH_12
Kiaa0196 MH_09
Cxorf49b MH_24
A1bg grey
Gsdmc MH_24
Fam49b MH_02
Asap1 MH_04
Adcy8 MH_20
Oc90 MH_20
Kcnq3 grey
Lrrc6 MH_29
Tmem71 MH_17
Sla MH_07
St3gal1 MH_17
Zfat MH_02
Fam135b MH_20
Col22a1 MH_22
Kcnk9 MH_21
Trappc9 grey
Eif2c2 MH_28
Ptk2 MH_19
Slc45a4 MH_27
Gpr20 MH_24
Flj43860 MH_24
Arc MH_25
Lypd2 MH_12
Slurp1 MH_14
Lynx1 MH_12
Ly6d MH_10
Gml MH_28
Cyp11b1 MH_23
Cyp11b2 grey
Ly6h MH_20
Top1mt MH_21
Mafa grey
Zc3h3 MH_27
Naprt1 MH_08
Eef1d MH_04
Pycrl MH_20
Tsta3 MH_03
Ccdc166 MH_14
Fam83h MH_22
Scrib MH_27
Puf60 MH_04
Nrbp2 MH_20
Plec MH_04
Oplah MH_24
Sharpin MH_14
Bop1 MH_02
Scrt1 MH_27
Fbxl6 MH_27
Cpsf1 MH_02
Slc39a4 MH_27
Vps28 MH_03
Tonsl MH_01
Cyhr1 MH_03
Foxh1 MH_21
Recql4 MH_01
C8orf82 MH_14
Arhgap39 MH_31
Znf251 MH_04
Znf250 MH_21
Mb MH_24
Rbfox2 grey
Apol5 MH_31
Apol2 MH_19
Myh9 MH_27
Txn2 MH_03
Foxred2 MH_23
Eif3d MH_03
Ift27 MH_02
Pvalb MH_24
C22orf33 MH_24
Tst MH_20
Il2rb MH_30
C1qtnf6 MH_01
Sstr3 MH_24
Rac2 MH_30
Elfn2 MH_22
Mfng MH_16
Card10 MH_25
Ankrd54 MH_23
C22orf23 MH_12
Sox10 grey
Slc16a8 grey
Pla2g6 MH_28
Tmem184b MH_20
Csnk1e MH_27
Kcnj4 MH_25
Ddx17 MH_26
Dmc1 MH_23
Loc646851 grey
Josd1 MH_29
Dnal4 MH_04
Cbx7 MH_11
Pdgfb MH_28
Rpl3 MH_26
Snord83b MH_10
Snord43 MH_10
Rps19bp1 MH_02
Enthd1 MH_14
Mkl1 MH_14
Slc25a17 MH_04
St13 MH_04
Dnajb7 MH_19
Rangap1 MH_01
Tob2 MH_29
Phf5a MH_03
Polr3h MH_04
Pmm1 MH_04
Pppde2 MH_30
Nhp2l1 MH_03
Shisa8 MH_12
Tnfrsf13c MH_04
Cenpm MH_01
Naga MH_27
Ndufa6 MH_10
Cyp2d6 MH_10
Tcf20 MH_14
Nfam1 MH_14
Poldip3 MH_30
Cyb5r3 MH_06
A4galt MH_24
Arfgap3 MH_27
Pacsin2 MH_07
Ttll1 MH_03
Mcat MH_03
Ttll12 MH_16
Efcab6 MH_23
Sult4a1 MH_23
Pnpla5 MH_26
Kiaa1644 MH_25
Ldoc1l MH_03
