gene module_id
Klhdc8a MH_24
Nuak2 MH_14
Tmcc2 MH_23
Dstyk MH_14
Rbbp5 MH_04
Tmem81 MH_12
Lrrn2 MH_21
Pik3c2b MH_23
Ppp1r15b MH_27
Plekha6 MH_11
Kiss1 MH_21
Prelp MH_25
Fmod MH_25
Chi3l1 MH_20
Myog MH_23
Loc100506747 MH_24
Cyb5r1 MH_03
Adipor1 MH_09
Klhl12 MH_27
Rabif MH_04
Kdm5b MH_27
Syt2 MH_22
Ube2t MH_01
Ptpn7 MH_07
Arl8a MH_27
Lmod1 MH_27
Nav1 MH_24
Csrp1 MH_07
Phlda3 MH_19
Tnni1 MH_27
Lad1 MH_05
Tnnt2 MH_20
Tmem9 MH_14
Cacna1s MH_25
Kif21b MH_14
Gpr25 MH_01
Ddx59 MH_02
Kif14 MH_01
Znf281 MH_14
Atp6v1g3 MH_04
Dennd1b MH_27
Zbtb41 MH_27
Aspm MH_01
F13b grey
Kcnt2 MH_28
B3galt2 MH_27
Glrx2 MH_04
Uchl5 MH_02
Fam5c MH_02
Ptgs2 MH_21
Pdc MH_23
Tpr MH_17
Ivns1abp MH_26
Trmt1l MH_17
Fam129a MH_27
Edem3 MH_04
Glt25d2 MH_14
Apobec4 MH_21
Arpc5 MH_07
Ncf2 MH_27
Nmnat2 MH_18
Shcbp1l MH_20
Rgs8 MH_27
Rnasel MH_17
Teddm1 MH_24
Glul MH_02
Znf648 MH_19
Stx6 MH_27
Acbd6 MH_04
Tor1aip2 MH_27
Nphs2 MH_19
Rpl35 MH_02
Abl2 MH_10
Angptl1 MH_14
Astn1 MH_22
Rfwd2 MH_04
Tnr MH_28
Mrps14 grey
Rc3h1 MH_27
Snord47 MH_10
Cenpl MH_27
Ankrd45 MH_20
Tnfsf4 MH_27
Tnfsf18 grey
Pigc MH_17
Dnm3 MH_20
Vamp4 MH_09
Myoc MH_22
Kifap3 MH_02
Scyl3 MH_27
Mettl18 MH_10
Sele MH_25
Sell MH_17
Selp MH_25
C1orf114 MH_04
Nme7 MH_04
Dpt MH_25
Gpr161 MH_12
Brp44 MH_04
Adcy10 grey
Creg1 MH_10
Gpa33 MH_24
Ildr2 MH_22
Tada1 MH_04
Fam78b MH_24
Tmco1 MH_02
Aldh9a1 MH_04
Rxrg MH_23
Lmx1a MH_23
Rgs5 MH_27
C1orf110 grey
Uhmk1 MH_27
Sh2d1b MH_12
C1orf111 MH_21
Nos1ap MH_26
Olfml2b MH_24
Dusp12 MH_02
Fcgr3a MH_11
C1orf192 MH_06
Mpz MH_24
Adamts4 MH_23
B4galt3 MH_27
Pfdn2 MH_02
Pvrl4 grey
Arhgap30 MH_14
Usf1 MH_12
Tstd1 MH_01
F11r MH_28
Cd48 MH_04
Slamf1 MH_29
Cd84 MH_04
Slamf6 MH_04
Copa MH_08
Pex19 MH_27
Dcaf8 MH_17
Igsf8 MH_01
Kcnj10 MH_11
Pigm MH_14
Slamf9 MH_22
Igsf9 MH_26
Tagln2 MH_07
Ccdc19 MH_27
Vsig8 MH_27
Or10j5 MH_14
Or10j3 MH_25
Aim2 MH_27
Or10aa1p MH_24
Or6n2 MH_25
Or6n1 grey
Or6k3 MH_21
Or6k2 MH_24
Spta1 grey
Mptx grey
Or10x1 MH_21
Or6p1 MH_24
Or6y1 MH_31
Fmn2 MH_10
Wdr64 MH_31
Exo1 MH_01
Sdccag8 MH_04
Znf238 MH_18
C1orf100 MH_10
Pppde1 MH_22
Efcab2 MH_02
Kif26b MH_23
Cnst MH_27
Sccpdh MH_04
Cdc42bpa MH_12
Itpkb MH_29
Parp1 MH_02
Lin9 MH_01
Acbd3 MH_13
C1orf55 MH_27
Lefty2 MH_19
Pycr2 MH_02
Lefty1 MH_17
Tmem63a MH_03
Cnih4 MH_04
Cnih3 MH_24
Dnah14 MH_23
Srp9 MH_09
Tp53bp2 MH_27
Capn8 MH_21
Susd4 MH_23
Tlr5 MH_11
Aida MH_04
Taf1a MH_10
Hhipl2 MH_27
Dusp10 MH_31
Rab3gap2 MH_04
Eprs MH_02
Gpatch2 MH_27
Esrrg MH_24
Ptpn14 MH_24
Angel2 MH_09
C1orf227 MH_24
Nsl1 MH_01
Batf3 MH_28
Tmem206 MH_20
Ints7 MH_04
Lpgat1 MH_07
Nek2 MH_01
Rd3 MH_24
Kcnh1 grey
C1orf74 MH_14
G0s2 MH_15
Lamb3 MH_10
Plxna2 MH_14
Cd34 MH_25
Xkr4 grey
Rp1 MH_19
Sox17 MH_22
Mrpl15 MH_03
Rgs20 grey
Npbwr1 MH_25
Sntg1 MH_26
Mybl1 MH_01
Snhg6 MH_10
Snord87 MH_14
Tcf24 MH_20
Ppp1r42 MH_14
Cops5 MH_02
Arfgef1 MH_02
Cpa6 MH_02
Slco5a1 grey
Prdm14 MH_14
Ncoa2 MH_27
Tram1 MH_30
Lactb2 MH_02
Eya1 MH_24
Trpa1 MH_15
C8orf84 grey
Rpl7 MH_02
Stau2 MH_05
Ube2w MH_28
Tceb1 MH_04
Jph1 MH_20
Crisp1 MH_24
Defb133 MH_14
Defb113 MH_24
Pkhd1 MH_23
Il17f MH_27
Mcm3 MH_01
Tram2 MH_02
Rims1 MH_23
Ogfrl1 MH_19
C6orf57 MH_10
Fam135a grey
Col19a1 grey
Nd4l MH_26
Bai3 MH_24
Phf3 MH_13
Ptp4a1 MH_10
Prim2 MH_01
Bag2 MH_03
Znf451 MH_27
Bend6 MH_17
Ccdc115 MH_03
Loc646743 MH_24
Fam168b MH_30
Uggt1 MH_17
Kiaa1310 MH_27
Lman2l MH_14
Ankrd23 MH_14
Ankrd39 MH_06
Sema4c MH_28
Fam178b MH_21
Actr1b MH_31
Tmem131 MH_17
Coa5 MH_22
Mgat4a MH_14
C2orf55 MH_02
Tsga10 MH_17
Mitd1 MH_17
Lyg2 MH_24
Lyg1 MH_12
Txndc9 MH_03
Rev1 MH_10
Aff3 MH_17
Lonrf2 MH_24
Chst10 MH_15
Tbc1d8 MH_10
Rnf149 MH_29
Snord89 MH_11
Creg2 MH_24
Rfx8 grey
Mfsd9 MH_26
Tgfbrap1 MH_03
Fhl2 MH_06
Uxs1 MH_28
Mettl21c MH_27
Kdelc1 MH_04
Mettl21cp1 MH_23
Col5a2 MH_23
Slc40a1 MH_11
Slc39a10 MH_17
Obfc2a MH_27
Myo1b grey
Gls MH_27
Nab1 MH_09
Mfsd6 MH_27
Inpp1 MH_27
C2orf88 MH_04
Pms1 MH_02
Asnsd1 MH_04
Dnah7 MH_21
Stk17b MH_29
Hecw2 grey
Gtf3c3 MH_02
Pgap1 MH_27
Ankrd44 MH_16
Sf3b1 MH_27
Hspd1 MH_01
Boll MH_10
Hsfy2 MH_24
Satb2 MH_21
Kctd18 MH_27
Clk1 MH_26
Orc2 MH_02
Fam126b MH_25
Als2cr12 MH_21
Trak2 MH_27
Tmem237 MH_04
Mpp4 MH_23
Als2 MH_04
Sumo1 MH_02
Ica1l MH_07
Wdr12 MH_02
Raph1 MH_07
Ino80d MH_27
Ndufs1 MH_02
Gpr1 MH_26
Dytn MH_24
Mdh1b MH_28
Mettl21a MH_17
Fzd5 MH_29
Plekhm3 MH_27
Crygd MH_12
Crygc MH_16
Crygb MH_27
Cryga MH_20
Idh1 MH_04
C2orf67 MH_02
Acadl MH_04
Myl1 MH_22
Lancl1 MH_04
Erbb4 MH_12
Ikzf2 MH_27
Bard1 MH_01
Abca12 MH_29
Fn1 MH_20
Mreg MH_27
Pecr MH_10
March4 MH_24
Ankar grey
Igfbp5 grey
Tnp1 MH_24
Tns1 MH_03
Cxcr1 MH_27
Aamp MH_09
Tmbim1 MH_23
Usp37 MH_27
Znf142 MH_27
Rnf25 MH_02
Prkag3 MH_24
Fev MH_25
Cryba2 MH_31
Ccdc108 MH_01
Ihh MH_22
Nhej1 MH_21
Slc23a3 grey
Cnppd1 MH_14
Abcb6 MH_24
Atg9a MH_29
Glb1l MH_04
Ptprn MH_21
Resp18 MH_24
Dnpep MH_03
Chpf MH_22
Obsl1 grey
Epha4 grey
Pax3 MH_22
Farsb MH_02
Scg2 MH_25
Ap1s3 MH_06
Wdfy1 MH_27
Serpine2 MH_10
Fam124b MH_27
Cul3 MH_02
Dock10 MH_27
Col4a4 MH_14
Slc19a3 MH_21
Sphkap MH_21
Pid1 MH_14
Dner grey
Trip12 MH_04
Slc16a14 MH_21
Sp110 MH_14
Gpr55 MH_07
Htr2b MH_27
Ncl MH_02
Snora75 MH_21
Snord82 MH_10
Nmur1 MH_14
Pde6d MH_20
Nppc MH_26
Alppl2 MH_12
Ecel1 MH_24
Ngef MH_01
Usp40 MH_17
Dnajb3 grey
Arl4c MH_14
Asb18 MH_23
Iqca1 MH_23
Col6a3 MH_25
Rab17 grey
Znf330 MH_04
Ilkap MH_04
Hes6 MH_04
Hdac4 MH_14
Ndufa10 MH_03
Or6b2 MH_21
Or6b3 MH_23
Myeov2 MH_02
Otos MH_04
Ankmy1 MH_24
Kif1a MH_24
C2orf54 MH_21
Mterfd2 MH_04
Pask MH_01
Hdlbp MH_27
Stk25 MH_04
Thap4 MH_09
Dtymk MH_04
Pdcd1 MH_27
St8sia4 MH_04
Slco4c1 grey
Slco6a1 MH_10
C5orf30 grey
Ppip5k2 MH_04
Pam MH_14
Pign MH_13
Kdsr MH_06
Vps4b MH_09
Serpinb3 MH_12
Serpinb4 MH_21
Cdh19 MH_01
Dsel MH_27
Tsn MH_03
Gli2 grey
Inhbb grey
Ralb MH_02
Epb41l5 MH_08
Ptpn4 MH_04
Tmem177 MH_03
Pcdp1 MH_04
Tmem37 MH_04
Dbi MH_01
Steap3 grey
Marco MH_05
Insig2 MH_09
Htr5bp grey
Dpp10 MH_21
Actr3 MH_03
Nckap5 MH_25
Tmem163 MH_07
Ysk4 MH_21
Zranb3 MH_01
Mcm6 MH_01
Dars MH_02
Cxcr4 MH_27
Cd55 MH_02
C4bpa MH_23
C4bpb MH_10
Pfkfb2 MH_13
Il24 grey
Il20 MH_24
Il19 MH_22
Mapkapk2 MH_28
Dyrk3 MH_27
Rassf5 MH_03
Ikbke MH_13
Srgap2 MH_02
Cdk18 MH_04
Cntn2 MH_21
Nfasc MH_10
Mdm4 MH_14
Sox13 MH_25
Snrpe MH_02
Lax1 MH_03
Atp2b4 MH_07
Optc MH_28
Btg2 MH_29
Adora1 MH_24
Ppfia4 MH_22
Tmem183a MH_27
Ppp1r12b MH_26
Lgr6 MH_24
Ptprvp MH_01
Gpr37l1 MH_22
Elf3 grey
Rnpep MH_07
Timm17a MH_06
Shisa4 MH_21
Ipo9 MH_02
Igfn1 MH_22
C1orf81 MH_24
C1orf106 MH_21
Camsap2 MH_14
Nr5a2 MH_24
Ptprc MH_14
Nek7 MH_07
Lhx9 MH_28
C1orf53 MH_04
Crb1 MH_22
Cfh MH_20
Cdc73 MH_27
Trove2 MH_27
Rgs2 MH_29
Rgs13 MH_10
Rgs1 MH_29
Rgs21 MH_24
Rgs18 MH_24
Pla2g4a MH_12
C1orf27 MH_01
Prg4 MH_20
Swt1 MH_09
Rnf2 MH_04
C1orf21 MH_18
Tsen15 MH_22
Rgl1 MH_23
Smg7 MH_27
Lamc2 MH_07
Lamc1 MH_27
Dhx9 MH_01
Npl grey
Rgsl1 grey
Cacna1e MH_21
Ier5 MH_27
Mr1 MH_02
Kiaa1614 MH_23
Xpr1 MH_28
Lhx4 grey
Qsox1 MH_23
Cep350 MH_17
Tor1aip1 MH_27
Fam163a grey
Tdrd5 MH_14
Axdnd1 MH_14
Soat1 MH_16
Tor3a MH_17
Fam20b MH_21
Ralgps2 MH_10
C1orf49 MH_14
Rasal2 grey
Fam5b MH_25
Pappa2 MH_21
Tnn MH_21
Cacybp MH_04
Rabgap1l MH_07
Gpr52 MH_07
Zbtb37 MH_27
Dars2 MH_04
Klhl20 MH_17
Aph1a MH_02
Faslg MH_29
C1orf9 MH_29
C1orf105 MH_24
Mettl13 MH_16
Prrc2c MH_17
Fmo4 MH_21
Fmo1 grey
Fmo2 MH_14
Fmo6p MH_18
Fmo3 MH_21
C1orf129 MH_21
Prrx1 MH_24
Gorab MH_02
Mettl11b MH_14
C1orf112 MH_01
Blzf1 MH_13
Atp1b1 MH_14
Xcl1 MH_06
Tbx19 MH_22
Sft2d2 MH_27
Tiprl MH_27
Dcaf6 MH_27
Mpzl1 MH_29
Rcsd1 MH_16
Pou2f1 MH_28
Dusp27 grey
Mael MH_29
Pogk MH_08
Fmo9p MH_14
Uck2 MH_01
Mgst3 MH_04
Lrrc52 MH_28
Pbx1 MH_12
Nuf2 MH_01
Rgs4 grey
Hsd17b7 MH_29
Ddr2 MH_24
Uap1 MH_27
C1orf226 MH_19
Atf6 MH_28
Fcrlb MH_22
Fcrla MH_21
Fcgr2b MH_01
Fcgr2a MH_05
Sdhc MH_14
Pcp4l1 MH_27
Tomm40l MH_04
Fcer1g MH_05
Ndufs2 MH_04
Ppox MH_11
Usp21 MH_02
Ufc1 MH_04
Nit1 MH_03
Ly9 MH_02
Slamf7 MH_06
Vangl2 MH_20
Nhlh1 MH_21
Ncstn MH_27
Pea15 MH_27
Casq1 MH_24
Atp1a4 MH_27
Atp1a2 grey
Kcnj9 MH_14
Slamf8 MH_12
Fcrl6 MH_10
Dusp23 MH_04
Or10j1 MH_21
Or10r2 MH_14
Fcer1a MH_24
Darc MH_23
Cadm3 MH_24
Ifi16 MH_04
