"gene.name"	"DE"	"in.module"	"Coarse.module"	"Fine.module"
"107"	"1700001j11rik"	FALSE	FALSE	NA	NA
"108"	"1700001k19rik"	FALSE	FALSE	NA	NA
"109"	"1700001l05rik"	FALSE	FALSE	NA	NA
"110"	"1700001l19rik"	FALSE	FALSE	NA	NA
"111"	"1700001o22rik"	FALSE	FALSE	NA	NA
"112"	"1700001p01rik"	FALSE	FALSE	NA	NA
"113"	"1700003c15rik"	FALSE	FALSE	NA	NA
"114"	"1700003d09rik"	FALSE	FALSE	NA	NA
"115"	"1700003e16rik"	FALSE	FALSE	NA	NA
"116"	"1700003e24rik"	FALSE	FALSE	NA	NA
"117"	"1700003f12rik"	FALSE	FALSE	NA	NA
"118"	"1700003g13rik"	FALSE	FALSE	NA	NA
"119"	"1700003g18rik"	FALSE	FALSE	NA	NA
"120"	"1700003h04rik"	FALSE	FALSE	NA	NA
"121"	"1700003l19rik"	FALSE	FALSE	NA	NA
"122"	"1700003m02rik"	FALSE	FALSE	NA	NA
"123"	"1700003m07rik"	FALSE	FALSE	NA	NA
"124"	"1700003p14rik"	FALSE	FALSE	NA	NA
"125"	"1700006a11rik"	FALSE	FALSE	NA	NA
"126"	"1700006e09rik"	FALSE	FALSE	NA	NA
"127"	"1700006f04rik"	FALSE	FALSE	NA	NA
"128"	"1700006h21rik"	FALSE	FALSE	NA	NA
"129"	"1700006j14rik"	FALSE	FALSE	NA	NA
"130"	"1700007b14rik"	FALSE	FALSE	NA	NA
"131"	"1700007e05rik"	FALSE	FALSE	NA	NA
"132"	"1700007f19rik"	FALSE	FALSE	NA	NA
"133"	"1700007g11rik"	FALSE	FALSE	NA	NA
"134"	"1700007j10rik"	FALSE	FALSE	NA	NA
"135"	"1700007k09rik"	FALSE	FALSE	NA	NA
"136"	"1700007k13rik"	FALSE	FALSE	NA	NA
"137"	"1700007l15rik"	FALSE	FALSE	NA	NA
"138"	"1700007m16rik"	FALSE	FALSE	NA	NA
"139"	"1700007p06rik"	FALSE	FALSE	NA	NA
"140"	"1700008f21rik"	FALSE	FALSE	NA	NA
"141"	"1700008i05rik"	FALSE	FALSE	NA	NA
"142"	"1700008j07rik"	TRUE	FALSE	NA	NA
"143"	"1700008k24rik"	FALSE	FALSE	NA	NA
"144"	"1700008o03rik"	FALSE	FALSE	NA	NA
"145"	"1700008p02rik"	FALSE	FALSE	NA	NA
"146"	"1700009c05rik"	FALSE	FALSE	NA	NA
"147"	"1700009j07rik"	FALSE	FALSE	26	152
"148"	"1700009n14rik"	FALSE	FALSE	NA	NA
"149"	"1700009p17rik"	FALSE	FALSE	65	309
"150"	"1700010b08rik"	FALSE	FALSE	NA	NA
"151"	"1700010b13rik"	FALSE	FALSE	NA	NA
"152"	"1700010d01rik"	FALSE	FALSE	NA	NA
"153"	"1700010h22rik"	FALSE	FALSE	NA	NA
"154"	"1700010i02rik"	FALSE	FALSE	NA	NA
"155"	"1700010i14rik"	FALSE	FALSE	NA	NA
"156"	"1700010j16rik"	FALSE	FALSE	NA	NA
"157"	"1700010k23rik"	FALSE	FALSE	NA	NA
"158"	"1700010k24rik"	FALSE	FALSE	NA	NA
"159"	"1700010l04rik"	FALSE	FALSE	NA	NA
"160"	"1700011a15rik"	FALSE	FALSE	NA	NA
"161"	"1700011b04rik"	FALSE	FALSE	NA	NA
"162"	"1700011e24rik"	FALSE	FALSE	NA	NA
"163"	"1700011h14rik"	FALSE	FALSE	NA	NA
"164"	"1700011i03rik"	FALSE	FALSE	NA	NA
"165"	"1700011l22rik"	FALSE	FALSE	NA	NA
"166"	"1700011m02rik"	FALSE	FALSE	NA	NA
"167"	"1700012a03rik"	FALSE	FALSE	NA	NA
"168"	"1700012b07rik"	FALSE	FALSE	NA	NA
"169"	"1700012b09rik"	FALSE	FALSE	NA	NA
"170"	"1700012c08rik"	FALSE	FALSE	NA	NA
"171"	"1700012c14rik"	FALSE	FALSE	NA	NA
"172"	"1700012i11rik"	FALSE	FALSE	NA	NA
"173"	"1700012l04rik"	FALSE	FALSE	NA	NA
"174"	"1700012p22rik"	FALSE	FALSE	NA	NA
"175"	"1700013d24rik"	FALSE	FALSE	NA	NA
"176"	"1700013f07rik"	FALSE	FALSE	NA	NA
"177"	"1700013g24rik"	FALSE	FALSE	NA	NA
"178"	"1700013h16rik"	FALSE	FALSE	NA	NA
"179"	"1700013n06rik"	FALSE	FALSE	NA	NA
"180"	"1700014d04rik"	FALSE	FALSE	NA	NA
"181"	"1700015e13rik"	FALSE	FALSE	NA	NA
"182"	"1700015f17rik"	FALSE	FALSE	NA	NA
"183"	"1700015g11rik"	FALSE	FALSE	NA	NA
"184"	"1700015o11rik"	FALSE	FALSE	NA	NA
"185"	"1700016c15rik"	FALSE	FALSE	NA	NA
"186"	"1700016d06rik"	FALSE	FALSE	NA	NA
"187"	"1700016g14rik"	FALSE	FALSE	NA	NA
"188"	"1700016g22rik"	FALSE	FALSE	NA	NA
"189"	"1700016h13rik"	FALSE	FALSE	NA	NA
"190"	"1700016k19rik"	FALSE	FALSE	NA	NA
"191"	"1700016l21rik"	FALSE	FALSE	NA	NA
"192"	"1700016p03rik"	FALSE	FALSE	NA	NA
"193"	"1700016p04rik"	FALSE	FALSE	NA	NA
"194"	"1700017b05rik"	FALSE	FALSE	16	77
"195"	"1700017d01rik"	TRUE	FALSE	NA	NA
"196"	"1700017g19rik"	FALSE	FALSE	NA	NA
